orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,area,servico,situacao,situacao_raiox,integracao_pagtesouro,valor_percentual_etapas_digitais,valor_economia_potencial_governo,valor_economia_potencial_sociedade,quantidade_beneficiados_ano,valor_economia_anual_governo,valor_economia_anual_sociedade,valor_investimento,previsao_entrega_trimestre
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,Comunicações e Transparência Pública,Registrar manifestação de ouvidoria na Plataforma Fala.BR,Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,Não informado,Acompanhar a evolução patrimonial de servidores do poder executivo federal por meio do Sistema e-PATRI.*,Pactuado,Em digitalização,,0.0,0.0,0.0,0,0.0,0.0,0.0,12
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,Não informado,"Facilitar, otimizar e padronizar o trabalho das comissões e das autoridades instauradoras e julgadoras nos procedimentos correcionais",Pactuado,Em digitalização,,0.0,0.0,0.0,0,0.0,0.0,0.0,12
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Acessar o benefício Garantia Safra,Pactuado,Em digitalização,Pactuação,0.0,108958500.0,103342500.0,0,0.0,0.0,0.0,13
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Acessar Publicações do Laboratório de Produtos Florestais,Digital,Digitalizado,,0.75,0.0,0.0,0,0.0,0.0,0.0,
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Aderir ao Sistema Nacional de Certificação de Unidades,Prospecção,Digitalização não iniciada,,1.0,0.0,0.0,0,0.0,0.0,0.0,
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Apresentar demanda junto ao MAPA para assegurar o abastecimento durante o combate ao Coronavírus (COVID-19),Transformado,Digitalizado,,1.0,0.0,0.0,18000,0.0,0.0,0.0,5
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Autorizar registro de provas zootécnicas.,Pactuado,Em digitalização,,0.5,161.42,153.1,0,0.0,0.0,0.0,11
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Cadastrar informações sobre o recebimento de sardinha verdadeira,Transformado,Digitalizado,,1.0,0.0,0.0,50,861756.0,1434.0,861756.0,7
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Cadastrar produtos para serem financiados pelo Programa Nacional de Fortalecimento da Agricultura Familiar – Pronaf (Programa Mais Alimentos),Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Cadastrar reprodutores para admissão em Centro de Coleta e Processamento de Sêmen,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,4
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,"Cadastrar serviços de inspeção, estabelecimentos e produtos inspecionados no e-SISBI",Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,6
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Cadastrar viticultor,Transformado,Digitalizado,,1.0,0.0,0.0,1500,-12160.0,0.0,54493.0,5
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Cadastrar-se no Cadastro Nacional da Agricultura Familiar,Pactuado,Em digitalização,,0.0,87166800.0,82674000.0,0,0.0,0.0,0.0,12
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Cadastro Nacional dos Encarregados dos Serviços de Comprovação de Perdas,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,7
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Cancelar registro de estabelecimento de produtos destinados à alimentação animal,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,6
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Cancelar registro de estabelecimentos produtores e comerciantes de material de multiplicação animal (MMA) - sêmen e embriões,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,4
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Certificar Entidades e Técnicos para concessão de crédito fundiário,Transformado,Digitalizado,,1.0,0.0,0.0,2000,285612.0,656481.0,168521.0,5
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Certificar sementes e mudas,Pactuado,Em digitalização,,0.33,0.0,0.0,0,0.0,0.0,0.0,14
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Certificar sementes para exportação,Pactuado,Em digitalização,,0.0,807.1,765.5,0,0.0,0.0,0.0,14
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Comunicar quarentena de reprodutor doador de sêmen,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,4
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Consultar a previsão do tempo – capitais e cidades,Digital,Digitalizado,,0.66,0.0,0.0,0,0.0,0.0,0.0,
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Consultar avisos meteorológicos,Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,"Consultar boletins prognóstico climático (INMET, CPTEC/INPE, e FUNCEME)",Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Consultar dados abertos do Sistema de Informações Gerenciais do Serviço de Inspeção Federal,Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Consultar informações da inspeção de produtos de origem animal de estados e municípios cadastrados no e-SISBI,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,6
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Consultar o Garantia-Safra,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,6
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Consultar períodos de plantio menos arriscados e relacionar as cultivares mais adaptadas a cada região.,Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Consultar requisitos e certificados da área animal (SISREC),Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Credenciar certificadoras no SISBOV,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,10
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Credenciar empresa para realização de tratamento fitossanitário com fins quarentenários,Transformado,Digitalizado,,0.5,0.0,0.0,0,0.0,0.0,0.0,10
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Credenciar entidades para realização de testes de agrotóxico,Pactuado,Em digitalização,,0.333333333333333,645.68,612.4,0,0.0,0.0,0.0,11
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Credenciar Laboratório na Rede Nacional de Laboratórios Agropecuários do MAPA.,Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Credenciar responsável técnico no Registro Nacional de Sementes e Mudas (RENASEM),Pactuado,Em digitalização,,0.75,0.0,0.0,0,0.0,0.0,0.0,14
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Credenciar-se como entidade prestadora de assistência técnica e extensão rural,Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,CVI Argentina - Solicitar Certificado Internacional para viajar com seu cão ou gato para a Argentina,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,7
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,CVI Bolívia - Solicitar Certificado Internacional para viajar com seu cão ou gato para a Bolívia,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,10
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,CVI Canadá - Solicitar Certificado Internacional para viajar com seu cão ou gato para o Canadá,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,10
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,CVI Chile - Solicitar Certificado Internacional para viajar com seu cão ou gato para o Chile,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,10
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,CVI Colômbia - Solicitar Certificado Internacional para viajar com seu cão ou gato para o Colômbia,Pactuado,Em digitalização,,0.0,0.0,0.0,0,0.0,0.0,0.0,12
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,CVI EUA - Solicitar Certificado Internacional para viajar com seu cão ou gato para os Estados Unidos,Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,CVI México - Solicitar Certificado Internacional para viajar com seu cão ou gato para o México,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,10
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,CVI Paraguai - Solicitar Certificado Internacional para viajar com seu cão ou gato para o Paraguai,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,10
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,CVI Uruguai - Solicitar Certificado Internacional para viajar com seu cão ou gato para o Uruguai,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,10
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,CVI Venezuela - Solicitar Certificado Internacional para viajar com seu cão ou gato para a Venezuela,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,10
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,Agricultura e Pecuária,Efetuar inclusão ou baixa de aeronave do estabelecimento,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,11
